case,v1z_nodes,v1z_lev,v1z_bdiff_nodes,v1z_bdiff_lev,gain,gain_pct,lev_diff,bdiff_candidates,bdiff_accepted,cross_co
tc_1,148,10,148,10,0,0%,0,2000,0,0
tc_2,19,4,19,4,0,0%,0,561,0,0
tc_3,134,10,134,10,0,0%,0,2000,0,0
tc_4,108,10,108,10,0,0%,0,2000,0,0
tc_5,65,2,65,2,0,0%,0,190,0,0
tc_6,162,4,162,4,0,0%,0,496,0,0
tc_7,252,3,252,3,0,0%,0,190,0,0
tc_8,192,4,192,4,0,0%,0,171,0,0
tc_9,224,5,224,5,0,0%,0,378,0,0
tc_10,161,4,161,4,0,0%,0,1128,0,0
tc_11,328,7,328,7,0,0%,0,435,0,0
tc_12,1366,14,1366,14,0,0%,0,45,0,0
tc_13,1045,13,1045,13,0,0%,0,66,0,0
tc_14,4097,26,4097,26,0,0%,0,1,0,0
tc_15,925,10,925,10,0,0%,0,0,0,0
tc_16,45,6,45,6,0,0%,0,990,0,0
tc_17,93,6,93,6,0,0%,0,210,0,0
tc_18,507,14,507,14,0,0%,0,0,0,0
tc_19,5364,26,5364,26,0,0%,0,0,0,0
tc_20,5625,30,5625,30,0,0%,0,0,0,0
tc_21,5646,34,5646,34,0,0%,0,0,0,0
tc_22,11178,30,11178,30,0,0%,0,0,0,0
tc_23,1530,16,1530,16,0,0%,0,0,0,0
tc_24,215,8,215,8,0,0%,0,0,0,0
tc_25,27,4,27,4,0,0%,0,1176,0,0
tc_26,1064,10,1064,10,0,0%,0,1953,0,0
tc_27,376,7,376,7,0,0%,0,2000,0,0
tc_28,520,7,520,7,0,0%,0,0,0,0
tc_29,108,5,108,5,0,0%,0,325,0,0
tc_30,7460,21,7460,21,0,0%,0,0,0,0
